id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,八种情感分析
4.45607E+15,InwIVCp4J,1652876004.0,-GUYVER-,8名散布武汉肺炎谣言者被依法查处,,,,,0,0.0,2,2020/1/1 23:55,微博 weibo.com,,,,"{'words': 9, 'sentences': 1, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 1, '惊': 0}"
4.45607E+15,InwIuspjx,5717172836.0,十有八九Echo,跨年因为害怕武汉的肺炎都没敢出校门2020的第一天又肚子疼可能是对我去年做太多错事的惩罚哭泣😣😣😣,,武汉·华中科技大学(东校区),,,0,1.0,1,2020/1/1 23:54,荣耀20,['http://ww4.sinaimg.cn/large/006eUFP6gy1gahhvm3q8mj30jg0jgaao.jpg'],,,"{'words': 28, 'sentences': 1, '好': 0, '乐': 0, '哀': 1, '怒': 1, '惧': 1, '恶': 0, '惊': 0}"
4.45607E+15,InwIdDqe2,6760990011.0,湖师数统学院实践部,"1月1日,针对疑似SARS的说法，武汉市中心医院（原二院）后湖院区医务处的工作人员称，网传出现SARS一事系谣言，目前并无疑似或确诊的患者。据武汉卫健委最新通报，近期部分医疗机构发现接诊的多例肺炎病例与华南海鲜城有关联，目前已发现27例病例，其中7例病情严重，初步检测分析认为上述病例系病毒性肺炎。到目前为止调查未发现明显人传人现象，未发现医务人员感染。目前对病原的检测及感染原因的调查正在进行中。",,黄石,,,0,1.0,4,2020/1/1 23:54,nova4e 3200W立体美颜,['http://ww1.sinaimg.cn/large/007nyqlZly1gahi0omyu0j30hs0c23zb.jpg'],,,"{'words': 111, 'sentences': 5, '好': 1, '乐': 0, '哀': 0, '怒': 0, '惧': 3, '恶': 1, '惊': 0}"
4.45607E+15,InwHxlEoe,3393209904.0,ljy东东,我家小狗之前就有咳痰症状喘气声音粗没有别的不好症状吃了抗生素治疗2天咳嗽有好转今天下午开始拉肚子检查细小阳性冠状阳性晚上开始输液和皮下注射拍片并有支气管肺炎今天治疗第一天小狗2个半月体重3.5kg小母求求各位帮帮忙有没有好的建议和治疗方案或者有经验的宠物医生帮忙支支招看着她难受我心都碎了只想让她痊愈健健康康的@每日一狗@小兔基布丁@养柯基的CK@柯基收割机@Topi柯基@我和宠物的日常@小短腿Duby@铲屎官阿程@幸福皮小白,,,"每日一狗,小兔基布丁,养柯基的CK,柯基收割机,Topi柯基,我和宠物的日常,小短腿Duby,铲屎官阿程,幸福皮小白",,0,6.0,1,2020/1/1 23:52,HUAWEI P30,"['http://ww4.sinaimg.cn/large/ca404630ly1gahi25u4axj22402tcb2b.jpg', 'http://ww2.sinaimg.cn/large/ca404630ly1gahi2aq7moj22402tcqv5.jpg', 'http://ww4.sinaimg.cn/large/ca404630ly1gahhrv29okj22tc2401kz.jpg', 'http://ww2.sinaimg.cn/large/ca404630ly1gahhrrdopjj22402tckjq.jpg', 'http://ww2.sinaimg.cn/large/ca404630ly1gahi28u7chj22402tcnpe.jpg', 'http://ww2.sinaimg.cn/large/ca404630ly1gahhreo16kj22402tc4qq.jpg', 'http://ww4.sinaimg.cn/large/ca404630ly1gahhrh7kzvj22402tckjm.jpg', 'http://ww2.sinaimg.cn/large/ca404630ly1gahhrk1dspj22402tcb2a.jpg', 'http://ww4.sinaimg.cn/large/ca404630ly1gahhrxpr57j22402tc4qq.jpg']",,,"{'words': 120, 'sentences': 2, '好': 2, '乐': 1, '哀': 1, '怒': 0, '惧': 0, '恶': 1, '惊': 0}"
4.45607E+15,InwHte59U,1652888655.0,纸巾,难怪我小时候那么难养大，还肺炎。还是有原因的啊。好吧。看来我还是有空去检查下？不过，检查也没用啊。是吧。反正没有什么可以干预的啊。是吧。,,,,,0,0.0,0,2020/1/1 23:52,iPhone客户端,,,,"{'words': 48, 'sentences': 9, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 2, '惊': 0}"
4.45607E+15,InwFAcMhn,1862293337.0,麦兜乄伊,2020第一天，已晚；一个12.4岁，一个0.8岁；一个奋笔疾书，一个酣睡如猪；姐姐说已累成狗，娃娃却睡成猪；继娃娃拉肚子之后，婆婆晨起呕吐，第二天老大吃坏了肚子；好吧，家中常驻人口中，中坚力量得挺住。又有检查团到，赶紧电话嘱咐娃爸注意保暖；降温的第二天，好多人生病了。昨天早上还来家里帮忙带娃娃，昨天晚上妈妈又赶回老家，因为奶奶感染肺炎住院。2020开局，我们要坚强面对生活。,,,,,0,0.0,0,2020/1/1 23:47,iPhone客户端,"['http://ww4.sinaimg.cn/large/6f005759ly1gahhev6l8yj20mi0u0qnz.jpg', 'http://ww2.sinaimg.cn/large/6f005759ly1gahhf61anej20mi0u0nk3.jpg']",,,"{'words': 109, 'sentences': 13, '好': 2, '乐': 1, '哀': 2, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4.45607E+15,InwFAbABn,3412509980.0,邓连杰营养师,#武汉发现不明原因肺炎##健康一冬#【得了肺炎怎么办？】1.不要滥用抗生素抗生素是用来对抗细菌的，但是很多呼吸道感染的人，早期多为病毒感染，抗生素对病毒没有任何作用，反而滥用抗生素，可能会加重耐药。需不需要使用抗生素，应该去咨询医生的建议，在医生的指导下使用。#健康一冬#2.不要急于使用止咳药咳嗽是呼吸道的一种保护性反射，有助于将气道的分泌物排出体外。使用止咳药完全控制咳嗽反而不利于病原体的排出，应当多饮水稀释痰液、翻身拍背深呼吸等来促进痰液排出体外。@微博健康养生3.多休息肺炎治疗的第一点就是休息，如果休息不好，肺炎的好转无从谈起，迁延不愈也是难以避免。4.切忌运动健康一般肺炎好转后2-4周，再逐渐开始锻炼身体。5.饮食建议饮食清淡，忌腥荤，忌辛辣刺激以及海鲜。以蔬菜、瘦肉、河鱼为主。,,,微博健康养生,"武汉发现不明原因肺炎,健康一冬",5,2.0,20,2020/1/1 23:47,iPhone客户端,,,,"{'words': 202, 'sentences': 15, '好': 7, '乐': 0, '哀': 0, '怒': 0, '惧': 3, '恶': 5, '惊': 0}"
4.45607E+15,InwER14uZ,6990341792.0,火锅烫寿司,伪年终总结😶19年的跨年最特别因为闹肺炎传染没出去大家在寝室吃火锅🍲边吃还边看跨年大家耐心都好好噢都不会烦我一直念王嘉尔今天有收到秦辅导员的红包🧧她说：2020一起努力💪我最爱温柔至极的她了最后一张图是觉得要坚持去做到的over.2020年一定会是很温柔很热爱的一年💙（我一定要做最好的位置看王嘉尔的演唱会！！！）,,,,,0,1.0,1,2020/1/1 23:45,iPhone客户端,"['http://ww3.sinaimg.cn/large/007D4Legly1gahhnbq1m0j30u018najc.jpg', 'http://ww3.sinaimg.cn/large/007D4Legly1gahhncbkypj30u018n7co.jpg', 'http://ww2.sinaimg.cn/large/007D4Legly1gahhncp89sj30u018nk94.jpg', 'http://ww2.sinaimg.cn/large/007D4Legly1gahhncwyvpj30u90u0dlh.jpg', 'http://ww1.sinaimg.cn/large/007D4Legly1gahhnd92qwj30u018nwp9.jpg', 'http://ww3.sinaimg.cn/large/007D4Legly1gahhndjivmj30u018ndq0.jpg', 'http://ww3.sinaimg.cn/large/007D4Legly1gahhnb2w5kj30u01szkjq.jpg', 'http://ww4.sinaimg.cn/large/007D4Legly1gahhndw671j30u01sz43u.jpg', 'http://ww1.sinaimg.cn/large/007D4Legly1gahhnee90hj30v90ixgp0.jpg']",,,"{'words': 100, 'sentences': 3, '好': 8, '乐': 1, '哀': 0, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4.45607E+15,InwEKw5mK,6200082911.0,国立美容美发大学,#散布武汉肺炎谣言8人被查处#妈呀。。怪吓人的。。。还好马上就能放假回家了淘宝先买一打口罩再说。😷,,,,散布武汉肺炎谣言8人被查处,0,0.0,0,2020/1/1 23:45,HUAWEI P20,,,,"{'words': 33, 'sentences': 4, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 1, '恶': 1, '惊': 0}"
4.45607E+15,InwEAr49z,1746776435.0,忧郁的鱼丸,我免费围观了@孔庆东的回答，问题价值388.00元，快来一起围观~O微博问答,,,孔庆东,,0,0.0,0,2020/1/1 23:45,微博 weibo.com,,,,"{'words': 22, 'sentences': 2, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4.45607E+15,InwE2rJvl,1819047325.0,财富路上的投资顾问,#今日看盘##股票##新闻联播cue饭圈女孩和帝吧##微博赚钱季##模拟炒股##私募#新股申购题材方面，医药板块领涨，网红经济，新能源车也还不错，其他锂电，种业，建材和房地产均有异动。上证指数低开震荡高走，三千点附近徘徊震荡，现在出来降准，明天无论收盘如何都会尝试突破。场内热点题材高位的或补跌或滞涨，明显向低位发酵，注意下这个趋势。1，金融：昨天集合竞价开的一般，开盘走势也不够强，中信证券前三十分钟和一个小时都没有翻红，再加上成交量骤减，当天调整的概率比较高。整体证券指数依旧很强，长阳后的缩量调整还算健康，原本估计未来几天还会试探上攻。现在出来降准，应该明天就要继续冲了，老规矩看看开盘前一个小时成交额，缩量涨肯定是不行的，毕竟从上周四周五南京证券到周一大券商异动，就是奔着预期降准来的。个股上，目前最高板是二连板的国投资本，再就是看代表更高空间的南京证券绿庭投资，以及未来的风向标的中信证券。相关个股：中信证券，南京/绿庭，国投资本微信手机135210682452，医药：传闻武汉闹出不明原因肺炎的事，官方层面已经做出澄清，这种越容易引起恐慌的事，官方往往不会懈怠，相应的题材越容易被证伪，昨天午后炸板可以理解。个股上，龙头鲁抗医药，跟风联环药业，莱茵生物，高标二板南卫股份这些，高潮后比较不好接力，没多少预期差。农业：周一晚上被媒体一通乱吹，导致周二集合竞价集体被抢筹，本来就一个卡在主线题材混乱期出现的小题材，结果集合竞价抢那么高，没预期差了，开盘还怎么玩？盘中回落完全可以理解。龙头大北农二板一字，考虑到位置低，假设题材能够持续四天，下半周还有发酵时间，昨天有些票冲高回落，明天可以考虑接一些核按钮，只要买的低当天不亏钱，后天可能会有个反弹。3，锂电池：高位题材股明显不好做，板块内部明显分化，前两周走出趋势的诸如宁德时代等票调整居多，日内领涨的是近一周启动的诸如融捷股份、雅化集团这些。不知道你们做的怎么样，这两天我是觉得挺难选股的。科技：板块已经连续三天没有明显异动，大基金二期概念还在调整，未来即使反弹，估计市场也是当做反弹炒，这样预期还是不高。如果没有新的方向，震荡回落是难免的，道理跟锂电差不多。觉得遍地是机会，结果不知道买什么，那就等等看。网红直播：周一引力和星期六震荡时提过反包策略，现在星期六反包涨停，引力低开高走，“反包”环节出现后，后面大概率是要横向震荡了。恰当的时期做适当的事，后面看不准。4、股价创60日新高。相关个股：盛宏股份,,合肥,,"今日看盘,股票,新闻联播cue饭圈女孩和帝吧,微博赚钱季,模拟炒股,私募",0,0.0,0,2020/1/1 23:43,小米6 拍人更美,"['http://ww4.sinaimg.cn/large/6c6c759dly1gahhpxlcujj20ku1gzu00.jpg', 'http://ww4.sinaimg.cn/large/6c6c759dly1gahhpy0jfrj20ku0qfqfw.jpg', 'http://ww1.sinaimg.cn/large/6c6c759dly1gahhpytu88j20u00no7wh.jpg', 'http://ww2.sinaimg.cn/large/6c6c759dly1gahhpz5l90j20q70etn6l.jpg', 'http://ww1.sinaimg.cn/large/6c6c759dly1gahhpznjagj20961whe18.jpg', 'http://ww1.sinaimg.cn/large/6c6c759dly1gahhpzwtdzj20u01900vc.jpg']",,,"{'words': 620, 'sentences': 21, '好': 10, '乐': 1, '哀': 1, '怒': 0, '惧': 6, '恶': 5, '惊': 0}"
4.45607E+15,InwDzwbVv,6351084172.0,用户6351084172,#腾讯新闻#紧急呼叫丨武汉病毒性肺炎患者：正接受集中治疗发病十多天曾以为是感冒O紧急呼叫丨武汉病毒性肺炎患者：正接受集中治疗发病十多天曾以为是感冒O打开腾讯视频看高清全集来自@腾讯新闻,,,腾讯新闻,腾讯新闻,0,0.0,0,2020/1/1 23:42,腾讯新闻客户端,,,,"{'words': 52, 'sentences': 1, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 2, '恶': 0, '惊': 0}"
4.45607E+15,InwDrdlm3,3665903747.0,zzzzi7,小不点。1⃣️周岁快乐。一年前的今天在医院一年后因为肺炎住院了只希望你能健健康康平平安安的长大,,,,,0,1.0,0,2020/1/1 23:42,iPhone客户端,"['http://ww1.sinaimg.cn/large/da814083gy1gahhiht5vgj22802you0y.jpg', 'http://ww1.sinaimg.cn/large/da814083gy1gahhig1j40j22c0340npd.jpg']",,,"{'words': 28, 'sentences': 3, '好': 1, '乐': 1, '哀': 1, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4.45607E+15,InwCDhT8G,5563544359.0,圆梦崽崽_Pooh,看了那个不明肺炎，现在有点恐慌而且现在是2020年让这种恐惧加倍了,,,,,0,0.0,0,2020/1/1 23:40,Android,,,,"{'words': 19, 'sentences': 1, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 2, '恶': 0, '惊': 0}"
4.45607E+15,InwCrsaPF,2455016497.0,多多的super嫲咪,不记得去年的元旦怎么过的了今年的元旦，因为武汉最近形势严峻甲流➕非典型肺炎不敢去商场，不敢去公众场合，就带吖出来瞎逛其实很喜欢去这种小街，可能很多人认为脏乱差，不过这才是真正的人间烟火气吧儿子走走看看很高兴，看到吃的一个劲的要买中午在外面一碗热干面打发了我和儿子，一碗三鲜面打发了老公，又买了一点发糕馒头回来蒸的吃，晚上自己做的饭，吃的舒舒服服的。2020希望继续这种平淡的小幸福一家人平平安安和和美美老公工作顺心,,,,,0,2.0,3,2020/1/1 23:39,iPhone客户端,"['http://ww3.sinaimg.cn/large/92549431gy1gahhg76bdaj22c0340npf.jpg', 'http://ww2.sinaimg.cn/large/92549431gy1gahhg9jb23j22c0340e83.jpg', 'http://ww2.sinaimg.cn/large/92549431gy1gahhgf4kg2j22c03404qr.jpg', 'http://ww1.sinaimg.cn/large/92549431gy1gahhghekc4j22c03407wj.jpg', 'http://ww1.sinaimg.cn/large/92549431gy1gahhgki2xuj22c0340x6r.jpg', 'http://ww2.sinaimg.cn/large/92549431gy1gahhgmporsj22c0340qv7.jpg', 'http://ww1.sinaimg.cn/large/92549431gy1gahhgpp3baj22c0340kjn.jpg', 'http://ww3.sinaimg.cn/large/92549431gy1gahhgs8l0kj22c03401l0.jpg', 'http://ww1.sinaimg.cn/large/92549431gy1gahhgupc9xj22c0340qv7.jpg']",,,"{'words': 122, 'sentences': 2, '好': 4, '乐': 7, '哀': 0, '怒': 0, '惧': 0, '恶': 2, '惊': 0}"
4.45607E+15,InwC7m5mv,1407341034.0,飞鱼学游泳,无缘无故高烧两天，不知道和那个武汉肺炎有没有关系，想着2020总得有点仪式感，硬撑着看了场叶问4，大失所望，一会李小龙，一会叶问，一会中华总会会长，不知道想突出谁，明明会长和叶问打了平手，会长被陆战队长打得惨败，陆战队长又被叶问打得惨败，除了叶问所有中国功夫师傅都被白人打残，中国功夫还有个屁用，还是东亚病夫的loser思维，最后来个救世主，估计是个香港导演，都啥年代了还这么拍。打戏也没啥出彩的地方。看得想上厕所。,,,,,0,3.0,0,2020/1/1 23:38,华为手机 畅享玩不停,['http://ww1.sinaimg.cn/large/53e251eagy1gahh7kjwsnj237k2eob29.jpg'],,,"{'words': 125, 'sentences': 4, '好': 2, '乐': 0, '哀': 1, '怒': 0, '惧': 0, '恶': 1, '惊': 0}"
4.45607E+15,InwBIyOLs,2872717365.0,四个夫人,#散布武汉肺炎谣言8人被查处#抓的还不够呀！微博现在的水特别深，到处是陷阱，到处是漩涡！加油！把该进去的全部抓进去！,,太原,,散布武汉肺炎谣言8人被查处,0,7.0,5,2020/1/1 23:38,@四个夫人 Android,,,,"{'words': 40, 'sentences': 5, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 3, '惊': 0}"
4.45607E+15,InwBhpZaf,2789282811.0,是云云儿吖,#武汉发现不明原因肺炎#庆幸发生的当天已经回来了，想想还是后怕汉口火车站离事发区还是非常近的。突发事件导致公司已经订好去武汉的年会高铁票临时通知改坐飞机去西安开年会，想想也是这种风险没有谁能承担，愿平安吧🙏,,十堰·十堰希尔顿逸林酒店,,武汉发现不明原因肺炎,0,10.0,5,2020/1/1 23:36,小米8青春版 潮流旗舰,['http://ww2.sinaimg.cn/large/a64113fbly1gahhiwv6vxj21s02dce84.jpg'],,,"{'words': 61, 'sentences': 2, '好': 0, '乐': 2, '哀': 0, '怒': 0, '惧': 1, '恶': 0, '惊': 0}"
4.45607E+15,InwBbcCSF,1773744325.0,阿满满仔,前年元旦肺炎，今年元旦感冒，可能勤奋工作遏制感冒新的一年，开心顺利呀,,,,,0,0.0,0,2020/1/1 23:36,iPhone客户端,,,,"{'words': 19, 'sentences': 1, '好': 0, '乐': 4, '哀': 0, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4.45607E+15,InwB3tA9w,1794265037.0,豚晓成长记,最怕孩子生病，基本都是一个人照顾的。带去看医生。过敏性咳嗽，晚上还会鼻塞，最近到处流感凶猛，有发了武汉肺炎新闻，人心惶惶。所以说，健康是福。都得好好观察！L豚晓成长记的微博视频,,广州,,,0,0.0,1,2020/1/1 23:36,全屏双摄 OPPO A5,,"http://f.video.weibocdn.com/002rAoNsgx07zP7fTLVB010412006azj0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1611151961&ssig=5keEdFD5px&KID=unistore,video",,"{'words': 56, 'sentences': 6, '好': 1, '乐': 0, '哀': 1, '怒': 0, '惧': 1, '恶': 0, '惊': 0}"
4.45607E+15,InwAWqahR,3804173419.0,各界导报社官微,【#对话武汉病毒性肺炎患者#：发病十多天曾以为是感冒】1月1日，@紧急呼叫连线到目前正在医院中隔离治疗的黄勇（化名），他表示目前数十名患者都在一起进行治疗。黄勇称自己发病了十多天，一开始以为是感冒。另一患者家属梁丽（化名）告诉@紧急呼叫，患者被隔离治疗后还没被允许探望。L紧急呼叫的秒拍视频,,,紧急呼叫,对话武汉病毒性肺炎患者,0,1.0,2,2020/1/1 23:36,vivo 全新水滴屏手机,,"http://miaopai.video.weibocdn.com/004hCEkllx07zOZqXq2c01041200e9ke0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1611151961&ssig=4cMHAN%2Fe9t&KID=unistore,video",,"{'words': 92, 'sentences': 4, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 3, '恶': 0, '惊': 0}"
